athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
80,Neil Broad,1966-11-20,Cape Town,Western Cape,RSA,Great Britain,191.0,87.0,N/A
106,Harold Mahony,1867-02-13,Edinburgh,Scotland,GBR,Great Britain,191.0,N/A,1905-06-27
138,Boris Becker,1967-11-22,Leimen,Baden-Württemberg,GER,Germany,192.0,85.0,N/A
144,Marc-Kevin Goellner,1970-09-22,Rio de Janeiro,Rio de Janeiro,BRA,Germany,196.0,85.0,N/A
161,Michael Stich,1968-10-18,Pinneberg,Schleswig-Holstein,GER,Germany,192.0,79.0,N/A
177,Georgios Kalovelonis,1959-08-23,Athina (Athens),Attiki,GRE,Greece,192.0,82.0,N/A
225,Sándor Noszály,1972-03-16,Budapest,Budapest,HUN,Hungary,192.0,90.0,N/A
276,Vijay Amritraj,1953-12-14,Chennai (Madras),Tamil Nadu,IND,India,193.0,75.0,N/A
418,Henrik Kromann Toft,1968-07-11,Aalborg,Nordjylland,DEN,Denmark,195.0,80.0,N/A
526,Bernhard Schulkowski,1951-10-09,Hanstedt,Niedersachsen,GER,West Germany,195.0,105.0,N/A
628,Richard Fromberg,1970-04-28,Ulverstone,Tasmania,AUS,Australia,196.0,88.0,N/A
634,Mark Philippoussis,1976-11-07,Melbourne,Victoria,AUS,Australia,193.0,91.0,N/A
636,Paul Staight,1974-12-08,Werribee,Victoria,AUS,Australia,192.0,85.0,N/A
715,Jaime Oncins,1970-06-16,São Paulo,São Paulo,BRA,Brazil,196.0,80.0,N/A
755,Sébastien LeBlanc,1973-12-27,Montréal,Québec,CAN,Canada,193.0,82.0,N/A
757,Daniel Nestor,1972-09-04,Beograd (Belgrade),Beograd,SRB,Canada,191.0,87.0,N/A
762,Iain Sydie,1969-11-12,N/A,N/A,N/A,Canada,191.0,86.0,N/A
792,Eoin Collins,1968-07-28,Dublin,Dublin,IRL,Ireland,193.0,86.0,N/A
797,Árni Þór Hallgrímson,1968-03-10,N/A,N/A,N/A,Iceland,192.0,97.0,N/A
802,Shahar Perkiss,1962-10-14,Heifa (Haifa),Heifa,ISR,Israel,193.0,70.0,N/A
1002,Michiel Schapers,1959-10-11,Rotterdam,Zuid-Holland,NED,Netherlands,200.0,83.0,N/A
1006,Jeroen van Dijk,1971-08-26,Rotterdam,Zuid-Holland,NED,Netherlands,193.0,85.0,N/A
1009,Joris van Soerland,1972-10-15,Nuenen,Noord-Brabant,NED,Netherlands,192.0,82.0,N/A
1087,Bozhil Lozanov,1934-08-16,N/A,N/A,N/A,Bulgaria,208.0,133.0,N/A
1098,Kiril Pandov,1943-05-03,N/A,N/A,N/A,Bulgaria,196.0,90.0,2013-01-01
1142,Jean-François Bergeron,1973-06-26,Saint-Jérôme,Québec,CAN,Canada,195.0,100.0,N/A
1158,David Defiagbon,1970-06-12,Sapele,Delta,NGR,Canada Nigeria,195.0,91.0,2018-11-24
1202,Lennox Lewis,1965-09-02,West Ham,England,GBR,Canada,194.0,100.0,N/A
1472,Sten Lindberg,1973-11-09,Sydney,New South Wales,AUS,Australia,199.0,97.0,N/A
1487,Rolando Arrojo,1965-07-18,San Juan de los Yeras,Villa Clara,CUB,Cuba,193.0,100.0,N/A
1489,José Contreras,1971-12-06,Las Martinas,Pinar del Río,CUB,Cuba,191.0,107.0,N/A
1500,Pedro Luis Lazo,1973-04-15,Pinar del Río,Pinar del Río,CUB,Cuba,192.0,107.0,N/A
1511,Ormari Romero,1968-02-22,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,196.0,86.0,N/A
1512,Antonio Scull,1965-09-10,San Miguel del Padrón,Ciudad de La Habana,CUB,Cuba,195.0,96.0,N/A
1578,Massimo Melassi,1961-05-15,Parma,Parma,ITA,Italy,192.0,90.0,N/A
1632,Stipe Drviš,1973-06-08,Makarska,Splitsko-dalmatinska županija,CRO,Croatia,196.0,81.0,N/A
1644,Nancio Carrillo,1950-08-16,Matanzas,Matanzas,CUB,Cuba,200.0,85.0,2018-12-07
1677,Freddy Rojas,1969-08-27,Camagüey,Camagüey,CUB,Cuba,192.0,81.0,N/A
1680,Alexis Rubalcaba,1972-08-09,Pedro Betancourt,Matanzas,CUB,Cuba,204.0,95.0,N/A
1681,Félix Savón,1967-09-22,San Vicente,Guantánamo,CUB,Cuba,198.0,91.0,N/A
1687,Petr Horáček,1974-01-11,Praha (Prague),Hlavní město Praha,CZE,Czechia,195.0,103.0,N/A
1745,Brian Nielsen,1965-04-01,N/A,N/A,N/A,Denmark,191.0,110.0,N/A
1782,Gabriel Hernández,1973-07-13,La Romana,La Romana,DOM,Dominican Republic,196.0,81.0,2001-06-25
1802,Thompson García,1970-12-16,Esmeraldas,Esmeraldas,ECU,Ecuador,192.0,87.0,N/A
2235,Butch Johnson,1955-08-30,Worcester,Massachusetts,USA,United States,191.0,98.0,N/A
2343,Goran Ivanišević,1971-09-13,Split,Splitsko-dalmatinska županija,CRO,Croatia Yugoslavia,194.0,78.0,N/A
2357,Daniel Vacek,1971-04-01,Praha (Prague),Hlavní město Praha,CZE,Czechia,191.0,81.0,N/A
2375,Kenneth Carlsen,1973-04-17,N/A,N/A,N/A,Denmark,192.0,87.0,N/A
2377,Jens Eriksen,1969-12-30,Glostrup,Hovedstaden,DEN,Denmark,191.0,83.0,N/A
2378,Frederik Fetterlein,1970-07-11,N/A,N/A,N/A,Denmark,191.0,78.0,N/A
2391,Thomas Stuer-Lauridsen,1971-04-29,Hørsholm,Hovedstaden,DEN,Denmark,191.0,78.0,N/A
2394,Michael Tauson,1966-06-25,Gentofte,Hovedstaden,DEN,Denmark,193.0,83.0,N/A
2470,Leszek Kucharski,1959-07-08,Gdańsk,Pomorskie,POL,Poland,193.0,78.0,N/A
2576,Marc Rosset,1970-11-07,Genève (Geneva),Genève,SUI,Switzerland,200.0,88.0,N/A
2614,Thomas Enqvist,1974-03-13,Stockholm,Stockholm,SWE,Sweden,191.0,87.0,N/A
2617,Tomas Johansson,1969-08-12,Göteborg (Gothenburg),Västra Götaland,SWE,Sweden,199.0,85.0,N/A
2622,Nicklas Kulti,1971-04-22,Stockholm,Stockholm,SWE,Sweden,192.0,90.0,N/A
2623,Magnus Larsson,1970-03-25,Olofström,Blekinge,SWE,Sweden,193.0,93.0,N/A
2631,Jens Olsson,1964-12-15,N/A,N/A,N/A,Sweden,193.0,84.0,N/A
2659,Milan Šrejber,1963-12-30,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,203.0,98.0,N/A
2724,Lindsay Davenport,1976-06-08,Palos Verdes,California,USA,United States,191.0,79.0,N/A
2748,Jim Butler,1971-02-15,Iowa City,Iowa,USA,United States,193.0,77.0,N/A
2787,Robert Seguso,1963-05-01,Minneapolis,Minnesota,USA,United States,191.0,82.0,N/A
2797,Watty Washburn,1894-06-13,New York,New York,USA,United States,194.0,N/A,1973-12-02
2806,Oleg Ogorodov,1972-07-16,Toshkent,Toshkent Shahri,UZB,Uzbekistan,193.0,87.0,N/A
2819,Zoran Kalinić,1958-07-20,Subotica,Severna Bačka,SRB,Independent Olympic Athletes Yugoslavia,196.0,86.0,N/A
2823,Slobodan Živojinović,1963-07-23,Beograd (Belgrade),Beograd,SRB,Yugoslavia,198.0,96.0,N/A
2836,Mark Dalton,1964-11-09,Sydney,New South Wales,AUS,Australia,198.0,N/A,N/A
2838,Mirza Delibašić,1954-01-09,Tuzla,Tuzlanski kanton,BIH,Bosnia and Herzegovina Yugoslavia,197.0,86.0,2001-12-08
2839,Nik'oloz Deriugini,1959-04-30,Kutaisi,Imereti,GEO,Soviet Union,206.0,105.0,N/A
2841,Nemanja Đurić,1936-06-18,Beograd (Belgrade),Beograd,SRB,Yugoslavia,195.0,93.0,N/A
2842,Juan Domecq,1950-06-10,N/A,N/A,N/A,Cuba,192.0,88.0,N/A
2844,Elşad Qadaşev,1968-05-01,Bakı,Bakı,AZE,Unified Team,205.0,110.0,N/A
2847,Rolly Goldring,1937-04-14,Stouffville,Ontario,CAN,Canada,198.0,90.0,2017-10-31
2849,Brendon Hackwill,1942-05-09,N/A,N/A,N/A,Australia,204.0,86.0,1995-08-03
2986,Patrice Aouissi,1966-02-24,Lyon,Rhône,FRA,France,192.0,81.0,2023-07-08
3145,Fredy Corea,1972-09-09,León,León,NCA,Nicaragua,193.0,99.0,N/A
3166,Eelco Jansen,1969-05-14,Heemskerk,Noord-Holland,NED,Netherlands,196.0,84.0,N/A
3219,Willie Adams,1972-10-08,Gallup,New Mexico,USA,United States,198.0,93.0,N/A
3222,Kris Benson,1974-11-07,Duluth,Minnesota,USA,United States,193.0,85.0,N/A
3227,Troy Glaus,1976-08-03,Tarzana,California,USA,United States,195.0,98.0,N/A
3229,Rick Greene,1971-01-02,Fort Knox,Kentucky,USA,United States,195.0,91.0,N/A
3230,Seth Greisinger,1975-07-29,Kansas City,Kansas,USA,United States,193.0,89.0,N/A
3237,Daron Kirkreit,1972-08-07,Anaheim,California,USA,United States,198.0,102.0,N/A
3242,Braden Looper,1974-10-28,Weatherford,Oklahoma,USA,United States,195.0,100.0,N/A
3255,Jeff Weaver,1976-08-22,Northridge,California,USA,United States,195.0,91.0,N/A
3259,Vlastimil Havlík,1957-01-26,Brno,Jihomoravský kraj,CZE,Czechoslovakia,191.0,78.0,N/A
3260,Tomás Herrera,1950-12-21,Santiago de Cuba,Santiago de Cuba,CUB,Cuba,198.0,95.0,2020-10-18
3261,Ruperto Herrera,1949-12-06,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,198.0,95.0,N/A
3263,Hu Weidong,1970-01-03,Xuzhou,Jiangsu,CHN,People's Republic of China,198.0,87.0,N/A
3268,Ivan Yedeshko,1945-03-25,Stetski,Hrodna,BLR,Soviet Union,196.0,90.0,N/A
3270,Georgi Kanev,1934-05-06,Kazanlak,Stara Zagora,BUL,Bulgaria,192.0,91.0,2012-01-01
3272,Gerald Kazanowski,1960-10-12,Nanaimo,British Columbia,CAN,Canada,205.0,100.0,N/A
3273,Howie Kelsey,1957-08-08,Vancouver,British Columbia,CAN,Canada,193.0,80.0,N/A
3276,Ivaylo Kirov,1947-02-16,Sofia,Sofia Grad,BUL,Bulgaria,193.0,89.0,2010-02-26
3278,Valdemaras Chomičius,1959-05-04,Kaunas,Kaunas,LTU,Lithuania Soviet Union,192.0,92.0,N/A
3279,Zdeněk Kos,1951-06-23,Praha (Prague),Hlavní město Praha,CZE,Czechoslovakia,206.0,94.0,N/A
3281,Alan Kristmanson,1961-11-05,Vancouver,British Columbia,CAN,Canada,200.0,88.0,N/A
3282,Stano Kropilák,1955-06-10,Kremnica,Banská Bystrica,SVK,Czechoslovakia,208.0,91.0,2022-10-14
3283,Ilmar Kullam,1922-06-15,Tartu,Tartumaa,EST,Soviet Union,191.0,N/A,2011-11-02
3356,Henry Akinwande,1965-10-12,Dulwich,England,GBR,Great Britain,196.0,91.0,N/A
3436,Paul Lawson,1966-12-02,London,England,GBR,Great Britain,193.0,91.0,N/A
3469,Fola Okesola,1974-04-16,Greenwich,England,GBR,Great Britain,191.0,91.0,N/A
3491,Brian Schumacher,1960-05-14,Liverpool,England,GBR,Great Britain,191.0,75.0,N/A
3509,Dave Thomas,1937-08-29,London,England,GBR,Great Britain,193.0,91.0,1980-01-01
3525,Bobby Wells,1961-05-15,London,England,GBR,Great Britain,193.0,91.0,N/A
3559,Ulli Kaden,1959-03-09,München (Munich),Bayern,GER,East Germany,197.0,93.0,N/A
3584,Akın Kuloğlu,1972-02-06,Kutaisi,Imereti,GEO,Georgia Türkiye,195.0,75.0,2001-08-20
3585,Giorgi K'andelak'i,1971-04-10,N/A,N/A,N/A,Georgia,191.0,91.0,N/A
3599,Willi Fischer,1972-08-26,Frankfurt am Main,Hessen,GER,Germany,193.0,110.0,N/A
3610,Hans Huber,1934-01-01,Regensburg,Bayern,GER,Germany,194.0,96.0,N/A
3611,Peter Hussing,1948-05-15,Kirchen (Sieg),Rheinland-Pfalz,GER,West Germany,196.0,101.0,2012-09-08
3619,Heinz Kohlhaas,1912-07-20,Hamm,Nordrhein-Westfalen,GER,Germany,196.0,N/A,1993-01-02
3627,Torsten May,1969-09-10,Glauchau,Sachsen,GER,Germany,193.0,81.0,N/A
3660,Andreas Schnieders,1966-12-22,Lastrup,Niedersachsen,GER,West Germany,204.0,108.0,2022-10-06
3678,Taju Akay,1962-01-21,Accra,Greater Accra,GHA,Ghana,194.0,81.0,2006-05-19
3759,Carl Crawford,1935-09-06,Georgetown,Demerara-Mahaica,GUY,Guyana,192.0,81.0,1999-03-01
3830,László Pákozdi,1951-01-05,Cegléd,Pest,HUN,Hungary,194.0,102.0,2015-06-23
3891,Gurcharan Singh,1977-04-10,Rurewal,Punjab,IND,India,191.0,81.0,N/A
3931,Mohamed Reza Samadi,1971-01-01,N/A,N/A,N/A,Islamic Republic of Iran,198.0,104.0,N/A
3953,Paul Douglas,1964-05-02,Belfast,Northern Ireland,GBR,Ireland,195.0,91.0,N/A
3986,Kevin McBride,1973-05-10,Clones,Monaghan,IRL,Ireland,198.0,100.0,N/A
4062,Giorgio Bambini,1945-02-24,Vezzano Ligure,La Spezia,ITA,Italy,192.0,81.0,2015-11-13
4102,Francesco Damiani,1958-10-04,Bagnacavallo,Ravenna,ITA,Italy,192.0,98.0,N/A
4283,Mikhail Yurchenko,1970-06-20,Ushtobe,Almaty Oblysy,KAZ,Kazakhstan,195.0,107.0,N/A
4290,David Attan,1948-12-15,N/A,N/A,N/A,Kenya,191.0,71.0,N/A
4293,Peter Dula,1947-11-15,N/A,N/A,N/A,Kenya,191.0,75.0,N/A
4442,Gytis Juškevičius,1966-02-22,N/A,N/A,N/A,Lithuania,193.0,96.0,N/A
4445,Vidas Markevičius,1963-08-25,Kaunas,Kaunas,LTU,Lithuania,191.0,91.0,1992-01-01
4591,Joaquín Rocha,1944-08-16,Ciudad de México (Mexico City),Ciudad de México,MEX,Mexico,192.0,90.0,N/A
4643,Damdingiin Zul,1973-02-16,Ulaanbaatar,Ulaanbaatar,MGL,Mongolia,192.0,87.0,N/A
4646,Djiguible Traoré,1960-03-12,N/A,N/A,N/A,Mali,191.0,81.0,N/A
4719,Jerry Nijman,1966-08-10,Paramaribo,Paramaribo,SUR,Netherlands,198.0,105.0,N/A
4739,Pedro van Raamsdonk,1960-10-02,Amsterdam,Noord-Holland,NED,Netherlands,196.0,75.0,N/A
4740,Arnold Vanderlijde,1963-01-24,Sittard,Limburg,NED,Netherlands,198.0,91.0,N/A
4765,Solomon Ataga,1948-04-08,N/A,N/A,N/A,Nigeria,195.0,93.0,N/A
4774,Duncan Dokiwari,1972-10-15,Buguma,Rivers,NGR,Nigeria,193.0,N/A,N/A
4857,Harald Skog,1949-08-22,N/A,N/A,N/A,Norway,191.0,81.0,N/A
4865,Otto von Porat,1903-09-29,Älmhult,Kronoberg,SWE,Norway,193.0,92.0,1982-10-14
4880,Michael Kenny,1964-06-19,Lower Hutt,Wellington,NZL,New Zealand,193.0,88.0,N/A
4893,Abdul Rehman,1938-04-14,N/A,N/A,N/A,Pakistan,195.0,83.0,N/A
4905,Safarish Khan,1970-03-31,N/A,N/A,N/A,Pakistan,193.0,92.0,N/A
4993,Alfredo Porzio,1900-08-31,Buenos Aires,Ciudad Autónoma de Buenos Aires,ARG,Argentina,193.0,106.0,1976-09-14
5073,Athol McQueen,1941-11-11,Kyogle,New South Wales,AUS,Australia,196.0,82.0,N/A
5086,Ed Lucht,1931-11-06,Jeffrey,Alberta,CAN,Canada,201.0,N/A,N/A
5088,Dušan Lukášik,1932-05-28,Ružomberok,Žilina,SVK,Czechoslovakia,191.0,90.0,2010-09-03
5089,Zoran Maroević,1942-04-27,Matulji,Primorsko-goranska županija,CRO,Yugoslavia,204.0,95.0,2019-04-24
5092,Jiří Matoušek,1927-08-16,Dvůr Králové nad Labem,Královéhradecký kraj,CZE,Czechoslovakia,194.0,N/A,2012-03-14
5096,Iliya Mirchev,1934-02-01,Sofia,Sofia Grad,BUL,Bulgaria,201.0,100.0,2007-08-05
5099,Danny Morseu,1958-09-07,N/A,N/A,N/A,Australia,193.0,95.0,N/A
5100,Emir Mutapčić,1960-05-27,Crkvice,Jablanica,SRB,Yugoslavia,197.0,90.0,N/A
5101,Mihovil Nakić-Vojnović,1955-07-31,Drniš,Šibensko-kninska županija,CRO,Yugoslavia,204.0,95.0,N/A
5104,Petr Novický,1948-03-26,N/A,N/A,N/A,Czechoslovakia,202.0,98.0,N/A
5106,Vladimír Padrta,1952-10-07,Brno,Jihomoravský kraj,CZE,Czechoslovakia,197.0,94.0,2009-09-15
5108,Viktor Pankrashkin,1957-06-19,Moskva (Moscow),Moskva,RUS,Soviet Union,220.0,112.0,1993-07-24
5109,Park Han,1945-12-15,Seoul,Seoul,KOR,Republic of Korea,191.0,83.0,N/A
5111,Zvonko Petričević,1940-07-26,Prizren,Prizren,KOS,Yugoslavia,210.0,130.0,2009-01-20
5112,Glen Pettinger,1928-09-27,Toronto,Ontario,CAN,Canada,193.0,N/A,2019-10-12
5114,Romel Raffin,1954-04-23,Toronto,Ontario,CAN,Canada,206.0,98.0,N/A
5115,Peter Rajniak,1953-05-25,Dolný Kubín,Žilina,SVK,Czechoslovakia,200.0,94.0,2000-02-04
5117,Judith Águila,1972-10-06,La Habana (Havana),Ciudad de La Habana,CUB,Cuba,192.0,80.0,N/A
5132,Antonietta Baistrocchi,1955-07-04,Roma,Roma,ITA,Italy,191.0,70.0,1994-06-08
